,Title,Company,Ratings
0,Data Scientist - SQL/Python/Machine Learning Algorithms,TalentStack,NA
1,Assistant Manager/Manager/Data Scientist - Python/Machine Learning,Huquo Consulting Pvt. Ltd,NA
2,Assistant Manager/ Manager/ Data Scientist - Python/ Machine Learning,Huquo Consulting Pvt. Ltd,NA
3,Senior Data Scientist/Tech Lead - SQL/Python/Big Data,Exploro Solutions,NA
4,Data Scientist - SQL/Python/Machine Learning Algorithms,TalentStack,NA
5,Data Scientist - Python/ MATLAB/ Machine Learning Algorithms,Wrackle Technologies Pvt Ltd,NA
6,Tcs Hiring For Data Scientist (Python GCP),Tata Consultancy Services Ltd.,3.9
7,Data Scientist (Python & SQL),AVE-Promagne,NA
8,Data Scientist - Python/Machine Learning,Exploro Solutions,NA
9,Data Scientist - Python/SQL,Catalyst,NA
10,Data Scientist - Python/Pandas/Numpy,Catalyst,NA
11,Data Scientist - Spark/Python/Redshift,Career Infosystem,NA
12,Senior Data Scientist / Tech Lead - SQL / Python / Big Data,Exploro Solutions,NA
13,"Lead Data Scientist : ML,Python",Evoke HR Solutions Pvt. Ltd.   ,NA
14,Data Scientist - SQL/R/Python,iMindYourBusiness,NA
15,Global Tax Automation & Operations | Data Scientist Senior Analyst,Dell International Services India  Private Limited,4.1
16,Lead Data Scientist,Wipro,3.8
17,Senior Associate - Data Scientist,Paonta Valley LLP,NA
18,Junior Data Analyst/ Scientist- Fresher Position,Sejal Consulting Hub ,NA
19,Data Scientist 2,PayPal,4.3
